State,Real,Imag
0,0.707107,0.000000
1,0.022097,0.449797
2,0.000000,0.000000
3,0.022097,0.148966
4,0.000000,0.000000
5,0.022097,0.088217
6,0.000000,0.000000
7,0.022097,0.061757
8,0.000000,0.000000
9,0.022097,0.046720
10,0.000000,0.000000
11,0.022097,0.036867
12,0.000000,0.000000
13,0.022097,0.029794
14,0.000000,0.000000
15,0.022097,0.024380
16,0.000000,0.000000
17,0.022097,0.020028
18,0.000000,0.000000
19,0.022097,0.016388
20,0.000000,0.000000
21,0.022097,0.013244
22,0.000000,0.000000
23,0.022097,0.010451
24,0.000000,0.000000
25,0.022097,0.007906
26,0.000000,0.000000
27,0.022097,0.005535
28,0.000000,0.000000
29,0.022097,0.003278
30,0.000000,0.000000
31,0.022097,0.001086
32,0.000000,0.000000
33,0.022097,-0.001086
34,0.000000,0.000000
35,0.022097,-0.003278
36,0.000000,0.000000
37,0.022097,-0.005535
38,0.000000,0.000000
39,0.022097,-0.007906
40,0.000000,0.000000
41,0.022097,-0.010451
42,0.000000,0.000000
43,0.022097,-0.013244
44,0.000000,0.000000
45,0.022097,-0.016388
46,0.000000,0.000000
47,0.022097,-0.020028
48,0.000000,0.000000
49,0.022097,-0.024380
50,0.000000,0.000000
51,0.022097,-0.029794
52,0.000000,0.000000
53,0.022097,-0.036867
54,0.000000,0.000000
55,0.022097,-0.046720
56,0.000000,0.000000
57,0.022097,-0.061757
58,0.000000,0.000000
59,0.022097,-0.088217
60,0.000000,0.000000
61,0.022097,-0.148966
62,0.000000,0.000000
63,0.022097,-0.449797
